202901213,6501102
202901439,6501102
202901567,6504202
202902148,6501102
202902267,6501102
202902564,6501102
202902759,6504102
202902784,6501102
202902856,6502202
202903012,6501102
202903028,6501102
202903149,6501102
202903181,6501102
202903247,6501102
202903408,6501102
202903432,6501102
202903580,6501202
202903681,6501102
202903762,6501202
202903775,6501102
202903789,6501102
202903823,6502102
202903948,6501102
202904033,6501202
202904058,6501102
202904087,6501202
202904239,6501202
202904293,6501202
202904324,6501102
202904345,6501202
202904452,6501202
202904536,6502102
202904570,6504102
202904637,6502102
202904703,6502102
202904741,6502102
202904765,6502202
202904789,6502102
202904875,6502102
202904912,6502102
202905048,6502102
202905089,6502102
202905117,6502102
202905203,6502102
202905279,6505102
202905322,6502102
202905391,6502102
202905421,6504102
202905506,6502102
202905527,6502102
202905570,6502102
202905652,6505102
202905713,6502102
202905781,6502202
202905819,6502202
202905860,6502202
202905927,6502202
202905945,6504202
202906017,6502202
202906065,6502202
202906089,6502202
202906146,6502202
202906215,6501202
202906283,6502202
202906359,6502202
202906412,6502202
202906459,6502202
202906520,6502202
202906597,6502202
202906615,6502202
202906682,6504102
202906733,6505102
202906823,6504102
202906849,6504102
202906889,6504102
202906935,6502102
202907028,6504102
202907067,6504102
202907156,6504102
202907223,6504102
202907308,6504102
202907327,6504102
202907410,6504202
202907439,6504202
202907481,6501202
202907511,6504202
202907567,6504202
202907632,6504202
202907751,6507102
202907820,6501101
202907865,6504202
202907983,6504202
 
